date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:32:01	99864/99864	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Jul%202018%2014:31:46%20GMT	https://cdn.shopify.com/s/files/1/1534/3917/products/Almuerzo-solo-slim_d95e9629-2ee5-417e-8023-a91565e56717_medium.png?v=1497216574	C:/Users/user/Desktop/comida%20final/cdn.shopify.com/s/files/1/1534/3917/products/Almuerzo-solo-slim_d95e9629-2ee5-417e-8023-a91565e56717_medium58c0.png	(from https://getup.com.pe/products/almuerzos-corporativos)
09:32:19	6413/6413	---MCZ	200	added ('OK')	application/json+oembed	etag:cacheable:383a3b3fbf5f3cb74d268581503ccbb4	https://getup.com.pe/products/almuerzos-corporativos.oembed	C:/Users/user/Desktop/comida%20final/getup.com.pe/products/almuerzos-corporativos.oembed	(from https://getup.com.pe/products/almuerzos-corporativos)
09:32:29	46492/46492	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Jul%202018%2014:32:21%20GMT	http://cdn.shopify.com/s/files/1/1534/3917/products/Almuerzo-solo-slim_d95e9629-2ee5-417e-8023-a91565e56717_compact.png?v=1497216574	C:/Users/user/Desktop/comida%20final/cdn.shopify.com/s/files/1/1534/3917/products/Almuerzo-solo-slim_d95e9629-2ee5-417e-8023-a91565e56717_compact58c0.png	(from https://getup.com.pe/products/almuerzos-corporativos)
09:32:41	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2001%20Jul%202018%2014:32:30%20GMT	https://www.facebook.com/sharer/sharer.php?u=https://getup.com.pe/products/almuerzos-corporativos&p[images][0]=products/Almuerzo-solo-slim_d95e9629-2ee5-417e-8023-a91565e56717.png	C:/Users/user/Desktop/comida%20final/www.facebook.com/sharer/sharer.1d3bd3d.delayed	(from https://getup.com.pe/products/almuerzos-corporativos)
09:32:59	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2001%20Jul%202018%2014:32:42%20GMT	https://m.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fgetup.com.pe%2Fproducts%2Falmuerzos-corporativos&p%5Bimages%5D%5B0%5D=products%2FAlmuerzo-solo-slim_d95e9629-2ee5-417e-8023-a91565e56717.png	C:/Users/user/Desktop/comida%20final/m.facebook.com/sharer/sharer.1d427fc.delayed	(from https://getup.com.pe/products/almuerzos-corporativos)
09:33:35	2496962/2496962	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Jul%202018%2014:27:37%20GMT	http://cdn.shopify.com/s/files/1/1534/3917/products/2_a03bb105-0d3a-46f9-8440-067c04ded9eb_1024x1024.png?v=1530134610	C:/Users/user/Desktop/comida%20final/cdn.shopify.com/s/files/1/1534/3917/products/2_a03bb105-0d3a-46f9-8440-067c04ded9eb_1024x10242815.png	(from https://getup.com.pe/products/reto-12-dias-getup)
09:34:29	873891/873891	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Jul%202018%2014:32:20%20GMT	http://cdn.shopify.com/s/files/1/1534/3917/products/Almuerzo-solo-slim_d95e9629-2ee5-417e-8023-a91565e56717_1024x1024.png?v=1497216574	C:/Users/user/Desktop/comida%20final/cdn.shopify.com/s/files/1/1534/3917/products/Almuerzo-solo-slim_d95e9629-2ee5-417e-8023-a91565e56717_1024x102458c0.png	(from https://getup.com.pe/products/almuerzos-corporativos)
09:34:35	2631370/2631370	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Jul%202018%2014:28:16%20GMT	http://cdn.shopify.com/s/files/1/1534/3917/products/3_bfea105b-f7e7-4374-93b1-5cb60182ddae_1024x1024.png?v=1530134610	C:/Users/user/Desktop/comida%20final/cdn.shopify.com/s/files/1/1534/3917/products/3_bfea105b-f7e7-4374-93b1-5cb60182ddae_1024x10242815.png	(from https://getup.com.pe/products/reto-12-dias-getup)
09:34:57	133605/133605	---M--	200	added ('OK')	image/png	date:Sun,%2017%20Jun%202018%2018:01:14%20GMT	https://cdn.shopify.com/s/files/1/1534/3917/products/PLAN-SLIM-FULL-PACK---slim-dietas----web-get-up_medium.png?v=1529106468	C:/Users/user/Desktop/comida%20final/cdn.shopify.com/s/files/1/1534/3917/products/PLAN-SLIM-FULL-PACK---slim-dietas----web-get-up_medium8440.png	(from https://getup.com.pe/products/fullpackslim)
09:34:58	507359/507359	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Jul%202018%2014:33:37%20GMT	http://cdn.shopify.com/s/files/1/1534/3917/products/almuerzo_2-snacks_fdb1296b-96bb-4254-b2a9-366b9d1d064e_grande.png?v=1529106468	C:/Users/user/Desktop/comida%20final/cdn.shopify.com/s/files/1/1534/3917/products/almuerzo_2-snacks_fdb1296b-96bb-4254-b2a9-366b9d1d064e_grande8440.png	(from https://getup.com.pe/products/fullpackslim)
09:35:00	764878/764878	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Jul%202018%2014:33:01%20GMT	http://cdn.shopify.com/s/files/1/1534/3917/products/PLAN-SLIM-FULL-PACK---slim-dietas----web-get-up_grande.png?v=1529106468	C:/Users/user/Desktop/comida%20final/cdn.shopify.com/s/files/1/1534/3917/products/PLAN-SLIM-FULL-PACK---slim-dietas----web-get-up_grande8440.png	(from https://getup.com.pe/products/fullpackslim)
09:35:16	535029/535029	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Jul%202018%2014:34:31%20GMT	http://cdn.shopify.com/s/files/1/1534/3917/products/desayuno-solo_2_c428e5aa-b854-47c0-b0d6-df83e2e268ff_grande.png?v=1529106468	C:/Users/user/Desktop/comida%20final/cdn.shopify.com/s/files/1/1534/3917/products/desayuno-solo_2_c428e5aa-b854-47c0-b0d6-df83e2e268ff_grande8440.png	(from https://getup.com.pe/products/fullpackslim)
